Age,Gender,Category,Purchase Amount (USD),Location,Season,Review Rating,Previous Purchases,Frequency of Purchases
55,Male,Clothing,53,Kentucky,Winter,3.1,14,Fortnightly
19,Male,Clothing,64,Maine,Winter,3.1,2,Fortnightly
50,Male,Clothing,73,Massachusetts,Spring,3.1,23,Weekly
21,Male,Footwear,90,Rhode Island,Spring,3.5,49,Weekly
45,Male,Clothing,49,Oregon,Spring,2.7,31,Annually
46,Male,Footwear,20,Wyoming,Summer,2.9,14,Weekly
63,Male,Clothing,85,Montana,Fall,3.2,49,Quarterly
27,Male,Clothing,34,Louisiana,Winter,3.2,19,Weekly
26,Male,Outerwear,97,West Virginia,Summer,2.6,8,Annually
57,Male,Accessories,31,Missouri,Spring,4.8,4,Quarterly
53,Male,Footwear,34,Arkansas,Fall,4.1,26,Bi-Weekly
30,Male,Clothing,68,Hawaii,Winter,4.9,10,Fortnightly
61,Male,Outerwear,72,Delaware,Winter,4.5,37,Fortnightly
65,Male,Clothing,51,New Hampshire,Spring,4.7,31,Weekly
64,Male,Outerwear,53,New York,Winter,4.7,34,Weekly
64,Male,Clothing,81,Rhode Island,Winter,2.8,8,Monthly
25,Male,Accessories,36,Alabama,Spring,4.1,44,Bi-Weekly
53,Male,Clothing,38,Mississippi,Winter,4.7,36,Quarterly
52,Male,Clothing,48,Montana,Summer,4.6,17,Weekly
66,Male,Clothing,90,Rhode Island,Summer,3.3,46,Bi-Weekly
21,Male,Clothing,51,Louisiana,Winter,2.8,50,Every 3 Months
31,Male,Clothing,62,North Carolina,Winter,4.1,22,Quarterly
56,Male,Clothing,37,California,Summer,3.2,32,Annually
31,Male,Clothing,88,Oklahoma,Winter,4.4,40,Weekly
18,Male,Outerwear,22,Florida,Fall,2.9,16,Weekly
18,Male,Clothing,25,Texas,Summer,3.6,14,Annually
38,Male,Accessories,20,Nevada,Spring,3.6,13,Annually
56,Male,Clothing,56,Kentucky,Summer,5.0,7,Every 3 Months
54,Male,Accessories,94,North Carolina,Fall,4.4,41,Every 3 Months
31,Male,Clothing,48,Wyoming,Fall,4.1,14,Weekly
57,Male,Accessories,31,North Carolina,Winter,4.7,16,Monthly
33,Male,Clothing,79,West Virginia,Winter,4.7,45,Monthly
36,Male,Outerwear,67,Kansas,Summer,4.9,37,Annually
54,Male,Clothing,38,Colorado,Summer,3.3,45,Quarterly
36,Male,Clothing,91,North Dakota,Spring,4.6,38,Quarterly
54,Male,Clothing,33,Massachusetts,Summer,4.0,48,Bi-Weekly
35,Male,Clothing,69,Illinois,Winter,4.6,44,Fortnightly
35,Male,Clothing,45,Indiana,Summer,2.8,10,Weekly
29,Male,Clothing,37,Florida,Winter,3.7,44,Every 3 Months
70,Male,Clothing,60,Arizona,Summer,4.2,18,Monthly
69,Male,Accessories,76,Louisiana,Winter,4.6,31,Quarterly
67,Male,Accessories,39,Alaska,Spring,4.5,40,Annually
20,Male,Outerwear,100,Tennessee,Spring,4.1,15,Annually
25,Male,Accessories,69,Ohio,Fall,3.7,19,Fortnightly
39,Male,Accessories,53,Kentucky,Summer,4.6,45,Weekly
50,Male,Clothing,21,Tennessee,Fall,2.9,25,Annually
57,Male,Clothing,43,California,Summer,2.9,45,Quarterly
55,Male,Accessories,54,Montana,Winter,4.5,36,Weekly
42,Male,Clothing,55,Nevada,Summer,2.7,38,Monthly
68,Male,Clothing,30,New Jersey,Spring,4.6,34,Bi-Weekly
49,Male,Clothing,28,Maryland,Spring,3.7,39,Bi-Weekly
59,Male,Clothing,59,Vermont,Winter,4.7,7,Quarterly
42,Male,Clothing,20,Alaska,Summer,2.6,26,Weekly
29,Male,Clothing,24,Mississippi,Winter,3.9,35,Weekly
47,Male,Outerwear,94,New Mexico,Summer,4.2,35,Bi-Weekly
40,Male,Outerwear,28,South Carolina,Winter,3.0,49,Annually
41,Male,Accessories,73,Mississippi,Summer,4.7,46,Weekly
21,Male,Outerwear,64,West Virginia,Summer,4.4,17,Fortnightly
69,Male,Clothing,54,Missouri,Summer,4.2,29,Monthly
63,Male,Accessories,79,Louisiana,Spring,4.6,4,Weekly
50,Male,Clothing,37,Idaho,Summer,4.0,17,Weekly
55,Male,Accessories,68,Texas,Winter,4.7,21,Every 3 Months
30,Male,Footwear,21,Mississippi,Spring,3.8,31,Fortnightly
33,Male,Accessories,79,Arizona,Winter,2.7,43,Weekly
65,Male,Footwear,83,Alabama,Fall,4.8,18,Fortnightly
65,Male,Accessories,36,New Jersey,Spring,4.8,44,Every 3 Months
31,Male,Clothing,94,Pennsylvania,Winter,4.7,3,Every 3 Months
45,Male,Outerwear,33,Connecticut,Winter,4.4,49,Monthly
57,Male,Accessories,46,Utah,Summer,3.9,21,Every 3 Months
48,Male,Accessories,70,Tennessee,Summer,4.4,5,Weekly
22,Male,Accessories,29,Alabama,Fall,4.2,32,Every 3 Months
36,Male,Clothing,48,Virginia,Summer,2.9,34,Annually
18,Male,Clothing,26,Georgia,Winter,2.9,21,Every 3 Months
48,Male,Clothing,85,Hawaii,Spring,2.7,43,Bi-Weekly
49,Male,Accessories,58,Indiana,Spring,4.5,3,Monthly
64,Male,Accessories,85,Utah,Summer,2.7,21,Annually
50,Male,Accessories,43,Delaware,Summer,4.2,32,Monthly
22,Male,Clothing,53,Delaware,Summer,3.3,36,Fortnightly
50,Male,Clothing,91,Nebraska,Spring,4.7,50,Fortnightly
38,Male,Outerwear,96,Iowa,Winter,2.6,43,Every 3 Months
19,Male,Footwear,72,New York,Summer,3.3,24,Every 3 Months
67,Male,Footwear,96,Virginia,Summer,2.6,36,Every 3 Months
19,Male,Clothing,28,Georgia,Spring,4.0,21,Every 3 Months
36,Male,Clothing,40,Texas,Summer,4.1,34,Weekly
52,Male,Outerwear,32,Arizona,Spring,4.4,42,Every 3 Months
53,Male,Accessories,95,New Mexico,Winter,4.5,2,Bi-Weekly
24,Male,Clothing,41,Nevada,Spring,3.7,47,Bi-Weekly
52,Male,Footwear,53,Ohio,Fall,3.7,44,Fortnightly
33,Male,Clothing,47,Wyoming,Fall,3.5,35,Monthly
47,Male,Outerwear,83,California,Fall,3.6,15,Quarterly
25,Male,Accessories,48,South Carolina,Summer,2.9,29,Monthly
44,Male,Accessories,99,South Carolina,Winter,4.6,18,Every 3 Months
61,Male,Outerwear,87,Texas,Winter,4.4,13,Every 3 Months
37,Male,Clothing,62,Florida,Fall,4.5,46,Weekly
58,Male,Clothing,76,Nevada,Spring,4.6,28,Weekly
37,Male,Footwear,100,Missouri,Fall,3.8,48,Monthly
32,Male,Accessories,73,Delaware,Spring,3.6,43,Every 3 Months
21,Male,Footwear,92,Virginia,Winter,4.8,37,Annually
20,Male,Clothing,67,New York,Spring,2.6,20,Annually
26,Male,Clothing,40,Missouri,Summer,3.7,33,Quarterly
62,Male,Accessories,98,South Dakota,Fall,2.7,31,Fortnightly
27,Male,Outerwear,85,North Dakota,Spring,4.6,50,Bi-Weekly
51,Male,Clothing,67,Oklahoma,Winter,4.8,35,Quarterly
54,Male,Footwear,89,West Virginia,Winter,4.0,22,Bi-Weekly
55,Male,Accessories,24,New Hampshire,Spring,4.4,1,Monthly
69,Male,Accessories,96,New York,Fall,3.6,4,Annually
64,Male,Outerwear,35,Minnesota,Summer,3.7,31,Monthly
28,Male,Footwear,67,Maryland,Winter,3.1,46,Fortnightly
70,Male,Clothing,79,Montana,Spring,3.4,32,Bi-Weekly
58,Male,Clothing,85,Alabama,Spring,2.6,43,Fortnightly
56,Male,Accessories,26,New York,Summer,4.0,26,Fortnightly
26,Male,Accessories,75,Massachusetts,Summer,5.0,9,Annually
37,Male,Accessories,65,Florida,Spring,4.3,28,Bi-Weekly
44,Male,Accessories,54,New Jersey,Winter,3.1,20,Quarterly
70,Male,Outerwear,95,Massachusetts,Summer,3.7,9,Weekly
